Eligibile_Status,Successful_Flight,Unsuccessful_Flight,Unsuccessful_Flight_Indicator,Unsuccessful_PAX_Indicator,Eligible_Biometric_DEP_INTL_PAX_Indicator,Eligible_Biometric_Flight_Indicator,Eligible_Biometric_DEP_INTL_PAX,Total_Flights,Eligible_Biometric_Flight,new_start_date_date_format,Total_DEP_INTL_Pax,Gate_Ref,host_carrier_code,flight_number,Origin,scheduled_arrival_station_code,Date,scheduled_departure_time_local,departure_gate,new_Gate_Ref,new_Start_Date,Biometric_Flights,Biometric_Passengers_Matched,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_acheviable_BCR,Flight_Saturation
Successful,Successful,,0,9,148,1,148,1,1,2021-01-02,148,SFOG6,UA,29,SFO,SIN,2023-04-17,10:50,G6,SFOG6,2021-01-02,1,139,0.93918919,1.0,1.0,0.93918919,1.0,1.0
Successful,Successful,,0,133,275,1,275,1,1,2021-01-02,275,SFOG6,UA,805,SFO,ICN,2023-04-27,23:45,G6,SFOG6,2021-01-02,1,142,0.51636364,1.0,1.0,0.51636364,1.0,1.0
Successful,Successful,,0,91,264,1,264,1,1,2021-01-02,264,SFOG8,UA,990,SFO,CDG,2023-04-15,14:35,G8,SFOG8,2021-01-02,1,173,0.65530303,1.0,1.0,0.65530303,1.0,1.0
Successful,Successful,,0,125,236,1,236,1,1,2021-01-02,236,SFOG5,UA,954,SFO,TLV,2023-04-09,19:50,G5,SFOG5,2021-01-02,1,111,0.47033898,1.0,1.0,0.47033898,1.0,1.0
Successful,Successful,,0,17,325,1,325,1,1,2021-01-02,325,SFOG6,UA,869,SFO,HKG,2023-04-29,12:45,G6,SFOG6,2021-01-02,1,308,0.94769231,1.0,1.0,0.94769231,1.0,1.0
Unsuccessful,,Unsuccessful,1,190,190,1,190,1,1,2021-01-02,190,SFOG13,UA,96,SFO,BNE,2023-04-14,23:55,G13,SFOG13,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,26,148,1,148,1,1,2021-01-02,148,SFOG3,UA,1189,SFO,SJD,2023-04-13,09:05,G3,SFOG3,2021-01-02,1,122,0.82432432,1.0,1.0,0.82432432,1.0,1.0
Successful,Successful,,0,32,198,1,198,1,1,2021-01-02,198,SFOG1,UA,926,SFO,FRA,2023-04-10,19:10,G1,SFOG1,2021-01-02,1,166,0.83838384,1.0,1.0,0.83838384,1.0,1.0
Successful,Successful,,0,74,232,1,232,1,1,2021-01-02,232,SFOG3,UA,1,SFO,SIN,2023-04-21,22:45,G3,SFOG3,2021-01-02,1,158,0.68103448,1.0,1.0,0.68103448,1.0,1.0
Successful,Successful,,0,20,348,1,348,1,1,2021-01-02,348,SFOG5,UA,869,SFO,HKG,2023-04-22,12:45,G5,SFOG5,2021-01-02,1,328,0.94252874,1.0,1.0,0.94252874,1.0,1.0
